
Feature reduction based on permutation importance ...
[194]	validation_0-rmse:0.10503	validation_1-rmse:0.10503
[195]	validation_0-rmse:0.10494	validation_1-rmse:0.10494
[196]	validation_0-rmse:0.10489	validation_1-rmse:0.10489
[197]	validation_0-rmse:0.10474	validation_1-rmse:0.10474
[198]	validation_0-rmse:0.10458	validation_1-rmse:0.10458
[199]	validation_0-rmse:0.10450	validation_1-rmse:0.10450
[200]	validation_0-rmse:0.10440	validation_1-rmse:0.10440
[201]	validation_0-rmse:0.10432	validation_1-rmse:0.10432
[202]	validation_0-rmse:0.10427	validation_1-rmse:0.10427
[203]	validation_0-rmse:0.10419	validation_1-rmse:0.10419
[204]	validation_0-rmse:0.10409	validation_1-rmse:0.10409
[205]	validation_0-rmse:0.10400	validation_1-rmse:0.10400
[206]	validation_0-rmse:0.10393	validation_1-rmse:0.10393
[207]	validation_0-rmse:0.10390	validation_1-rmse:0.10390
[208]	validation_0-rmse:0.10376	validation_1-rmse:0.10376
[209]	validation_0-rmse:0.10365	validation_1-rmse:0.10365
[210]	validation_0-rmse:0.10339	validation_1-rmse:0.10339
[211]	validation_0-rmse:0.10326	validation_1-rmse:0.10326
[212]	validation_0-rmse:0.10316	validation_1-rmse:0.10316
[213]	validation_0-rmse:0.10306	validation_1-rmse:0.10306
[214]	validation_0-rmse:0.10295	validation_1-rmse:0.10295
[215]	validation_0-rmse:0.10287	validation_1-rmse:0.10287
[216]	validation_0-rmse:0.10278	validation_1-rmse:0.10278
[217]	validation_0-rmse:0.10273	validation_1-rmse:0.10273
[218]	validation_0-rmse:0.10258	validation_1-rmse:0.10258
[219]	validation_0-rmse:0.10255	validation_1-rmse:0.10255
[220]	validation_0-rmse:0.10249	validation_1-rmse:0.10249
[221]	validation_0-rmse:0.10234	validation_1-rmse:0.10234
[222]	validation_0-rmse:0.10225	validation_1-rmse:0.10225
[223]	validation_0-rmse:0.10221	validation_1-rmse:0.10221
[224]	validation_0-rmse:0.10211	validation_1-rmse:0.10211
[225]	validation_0-rmse:0.10200	validation_1-rmse:0.10200
[226]	validation_0-rmse:0.10191	validation_1-rmse:0.10191
[227]	validation_0-rmse:0.10182	validation_1-rmse:0.10182
[228]	validation_0-rmse:0.10175	validation_1-rmse:0.10175
[229]	validation_0-rmse:0.10168	validation_1-rmse:0.10168
[230]	validation_0-rmse:0.10154	validation_1-rmse:0.10154
[231]	validation_0-rmse:0.10148	validation_1-rmse:0.10148
[232]	validation_0-rmse:0.10143	validation_1-rmse:0.10143
[233]	validation_0-rmse:0.10134	validation_1-rmse:0.10134
[234]	validation_0-rmse:0.10126	validation_1-rmse:0.10126
[235]	validation_0-rmse:0.10116	validation_1-rmse:0.10116
[236]	validation_0-rmse:0.10109	validation_1-rmse:0.10109
[237]	validation_0-rmse:0.10101	validation_1-rmse:0.10101
[238]	validation_0-rmse:0.10087	validation_1-rmse:0.10087
[239]	validation_0-rmse:0.10079	validation_1-rmse:0.10079
[240]	validation_0-rmse:0.10072	validation_1-rmse:0.10072
[241]	validation_0-rmse:0.10068	validation_1-rmse:0.10068
[242]	validation_0-rmse:0.10061	validation_1-rmse:0.10061
[243]	validation_0-rmse:0.10056	validation_1-rmse:0.10056
[244]	validation_0-rmse:0.10052	validation_1-rmse:0.10052
[245]	validation_0-rmse:0.10044	validation_1-rmse:0.10044
[246]	validation_0-rmse:0.10038	validation_1-rmse:0.10038
[247]	validation_0-rmse:0.10023	validation_1-rmse:0.10023
[248]	validation_0-rmse:0.10018	validation_1-rmse:0.10018
[249]	validation_0-rmse:0.10009	validation_1-rmse:0.10009
[250]	validation_0-rmse:0.10004	validation_1-rmse:0.10004
[251]	validation_0-rmse:0.10000	validation_1-rmse:0.10000
[252]	validation_0-rmse:0.09985	validation_1-rmse:0.09985
[253]	validation_0-rmse:0.09980	validation_1-rmse:0.09980
[254]	validation_0-rmse:0.09974	validation_1-rmse:0.09974
[255]	validation_0-rmse:0.09963	validation_1-rmse:0.09963
[256]	validation_0-rmse:0.09959	validation_1-rmse:0.09959
[257]	validation_0-rmse:0.09951	validation_1-rmse:0.09951
[258]	validation_0-rmse:0.09944	validation_1-rmse:0.09944
[259]	validation_0-rmse:0.09939	validation_1-rmse:0.09939
[260]	validation_0-rmse:0.09930	validation_1-rmse:0.09930
[261]	validation_0-rmse:0.09923	validation_1-rmse:0.09923
[262]	validation_0-rmse:0.09917	validation_1-rmse:0.09917
[263]	validation_0-rmse:0.09911	validation_1-rmse:0.09911
[264]	validation_0-rmse:0.09904	validation_1-rmse:0.09904
[265]	validation_0-rmse:0.09898	validation_1-rmse:0.09898
[266]	validation_0-rmse:0.09886	validation_1-rmse:0.09886
[267]	validation_0-rmse:0.09882	validation_1-rmse:0.09882
[268]	validation_0-rmse:0.09878	validation_1-rmse:0.09878
[269]	validation_0-rmse:0.09868	validation_1-rmse:0.09868
[270]	validation_0-rmse:0.09863	validation_1-rmse:0.09863
[271]	validation_0-rmse:0.09855	validation_1-rmse:0.09855
[272]	validation_0-rmse:0.09851	validation_1-rmse:0.09851
[273]	validation_0-rmse:0.09844	validation_1-rmse:0.09844
[274]	validation_0-rmse:0.09835	validation_1-rmse:0.09835
[275]	validation_0-rmse:0.09832	validation_1-rmse:0.09832
[276]	validation_0-rmse:0.09824	validation_1-rmse:0.09824
[277]	validation_0-rmse:0.09822	validation_1-rmse:0.09822
[278]	validation_0-rmse:0.09811	validation_1-rmse:0.09811
[279]	validation_0-rmse:0.09799	validation_1-rmse:0.09799
[280]	validation_0-rmse:0.09792	validation_1-rmse:0.09792
[281]	validation_0-rmse:0.09788	validation_1-rmse:0.09788
[282]	validation_0-rmse:0.09785	validation_1-rmse:0.09785
[283]	validation_0-rmse:0.09778	validation_1-rmse:0.09778
[284]	validation_0-rmse:0.09772	validation_1-rmse:0.09772
[285]	validation_0-rmse:0.09765	validation_1-rmse:0.09765
[286]	validation_0-rmse:0.09745	validation_1-rmse:0.09745
[287]	validation_0-rmse:0.09741	validation_1-rmse:0.09741
[288]	validation_0-rmse:0.09736	validation_1-rmse:0.09736
[289]	validation_0-rmse:0.09734	validation_1-rmse:0.09734
[290]	validation_0-rmse:0.09732	validation_1-rmse:0.09732
[291]	validation_0-rmse:0.09722	validation_1-rmse:0.09722
[292]	validation_0-rmse:0.09710	validation_1-rmse:0.09710
[293]	validation_0-rmse:0.09705	validation_1-rmse:0.09705
[294]	validation_0-rmse:0.09698	validation_1-rmse:0.09698
[295]	validation_0-rmse:0.09681	validation_1-rmse:0.09681
[296]	validation_0-rmse:0.09672	validation_1-rmse:0.09672
[297]	validation_0-rmse:0.09665	validation_1-rmse:0.09665
[298]	validation_0-rmse:0.09656	validation_1-rmse:0.09656
[299]	validation_0-rmse:0.09649	validation_1-rmse:0.09649
[300]	validation_0-rmse:0.09648	validation_1-rmse:0.09648
[301]	validation_0-rmse:0.09636	validation_1-rmse:0.09636
[302]	validation_0-rmse:0.09620	validation_1-rmse:0.09620
[303]	validation_0-rmse:0.09613	validation_1-rmse:0.09613
[304]	validation_0-rmse:0.09606	validation_1-rmse:0.09606
[305]	validation_0-rmse:0.09601	validation_1-rmse:0.09601
