
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[232]	validation_0-rmse:0.10173	validation_1-rmse:0.11091
[233]	validation_0-rmse:0.10166	validation_1-rmse:0.11087
[234]	validation_0-rmse:0.10160	validation_1-rmse:0.11083
[235]	validation_0-rmse:0.10152	validation_1-rmse:0.11075
[236]	validation_0-rmse:0.10141	validation_1-rmse:0.11070
[237]	validation_0-rmse:0.10132	validation_1-rmse:0.11063
[238]	validation_0-rmse:0.10123	validation_1-rmse:0.11056
[239]	validation_0-rmse:0.10116	validation_1-rmse:0.11051
[240]	validation_0-rmse:0.10109	validation_1-rmse:0.11046
[241]	validation_0-rmse:0.10099	validation_1-rmse:0.11036
[242]	validation_0-rmse:0.10095	validation_1-rmse:0.11034
[243]	validation_0-rmse:0.10093	validation_1-rmse:0.11032
[244]	validation_0-rmse:0.10088	validation_1-rmse:0.11031
[245]	validation_0-rmse:0.10081	validation_1-rmse:0.11026
[246]	validation_0-rmse:0.10076	validation_1-rmse:0.11022
[247]	validation_0-rmse:0.10069	validation_1-rmse:0.11016
[248]	validation_0-rmse:0.10063	validation_1-rmse:0.11011
[249]	validation_0-rmse:0.10055	validation_1-rmse:0.11007
[250]	validation_0-rmse:0.10048	validation_1-rmse:0.11002
[251]	validation_0-rmse:0.10038	validation_1-rmse:0.10995
[252]	validation_0-rmse:0.10034	validation_1-rmse:0.10993
[253]	validation_0-rmse:0.10020	validation_1-rmse:0.10982
[254]	validation_0-rmse:0.10009	validation_1-rmse:0.10975
[255]	validation_0-rmse:0.10004	validation_1-rmse:0.10971
[256]	validation_0-rmse:0.09984	validation_1-rmse:0.10955
[257]	validation_0-rmse:0.09969	validation_1-rmse:0.10945
[258]	validation_0-rmse:0.09964	validation_1-rmse:0.10943
[259]	validation_0-rmse:0.09955	validation_1-rmse:0.10934
[260]	validation_0-rmse:0.09952	validation_1-rmse:0.10933
[261]	validation_0-rmse:0.09941	validation_1-rmse:0.10921
[262]	validation_0-rmse:0.09932	validation_1-rmse:0.10914
[263]	validation_0-rmse:0.09926	validation_1-rmse:0.10912
[264]	validation_0-rmse:0.09920	validation_1-rmse:0.10909
[265]	validation_0-rmse:0.09914	validation_1-rmse:0.10903
[266]	validation_0-rmse:0.09903	validation_1-rmse:0.10893
[267]	validation_0-rmse:0.09896	validation_1-rmse:0.10887
[268]	validation_0-rmse:0.09890	validation_1-rmse:0.10884
[269]	validation_0-rmse:0.09880	validation_1-rmse:0.10877
[270]	validation_0-rmse:0.09862	validation_1-rmse:0.10861
[271]	validation_0-rmse:0.09846	validation_1-rmse:0.10847
[272]	validation_0-rmse:0.09836	validation_1-rmse:0.10841
[273]	validation_0-rmse:0.09823	validation_1-rmse:0.10829
[274]	validation_0-rmse:0.09819	validation_1-rmse:0.10825
[275]	validation_0-rmse:0.09809	validation_1-rmse:0.10821
[276]	validation_0-rmse:0.09804	validation_1-rmse:0.10819
[277]	validation_0-rmse:0.09796	validation_1-rmse:0.10814
[278]	validation_0-rmse:0.09790	validation_1-rmse:0.10809
[279]	validation_0-rmse:0.09787	validation_1-rmse:0.10808
[280]	validation_0-rmse:0.09771	validation_1-rmse:0.10792
[281]	validation_0-rmse:0.09761	validation_1-rmse:0.10786
[282]	validation_0-rmse:0.09759	validation_1-rmse:0.10784
[283]	validation_0-rmse:0.09753	validation_1-rmse:0.10782
[284]	validation_0-rmse:0.09750	validation_1-rmse:0.10779
[285]	validation_0-rmse:0.09738	validation_1-rmse:0.10771
[286]	validation_0-rmse:0.09734	validation_1-rmse:0.10768
[287]	validation_0-rmse:0.09720	validation_1-rmse:0.10756
[288]	validation_0-rmse:0.09717	validation_1-rmse:0.10756
[289]	validation_0-rmse:0.09712	validation_1-rmse:0.10751
[290]	validation_0-rmse:0.09704	validation_1-rmse:0.10747
[291]	validation_0-rmse:0.09699	validation_1-rmse:0.10742
[292]	validation_0-rmse:0.09691	validation_1-rmse:0.10736
[293]	validation_0-rmse:0.09684	validation_1-rmse:0.10730
[294]	validation_0-rmse:0.09677	validation_1-rmse:0.10724
[295]	validation_0-rmse:0.09675	validation_1-rmse:0.10723
[296]	validation_0-rmse:0.09671	validation_1-rmse:0.10719
[297]	validation_0-rmse:0.09663	validation_1-rmse:0.10713
[298]	validation_0-rmse:0.09658	validation_1-rmse:0.10710
[299]	validation_0-rmse:0.09649	validation_1-rmse:0.10703
[300]	validation_0-rmse:0.09637	validation_1-rmse:0.10693
[301]	validation_0-rmse:0.09633	validation_1-rmse:0.10690
[302]	validation_0-rmse:0.09626	validation_1-rmse:0.10682
[303]	validation_0-rmse:0.09621	validation_1-rmse:0.10679
[304]	validation_0-rmse:0.09612	validation_1-rmse:0.10674
[305]	validation_0-rmse:0.09608	validation_1-rmse:0.10672
[306]	validation_0-rmse:0.09603	validation_1-rmse:0.10666
[307]	validation_0-rmse:0.09596	validation_1-rmse:0.10661
[308]	validation_0-rmse:0.09592	validation_1-rmse:0.10658
[309]	validation_0-rmse:0.09589	validation_1-rmse:0.10656
[310]	validation_0-rmse:0.09587	validation_1-rmse:0.10653
[311]	validation_0-rmse:0.09577	validation_1-rmse:0.10645
[312]	validation_0-rmse:0.09572	validation_1-rmse:0.10643
[313]	validation_0-rmse:0.09564	validation_1-rmse:0.10638
[314]	validation_0-rmse:0.09549	validation_1-rmse:0.10625
[315]	validation_0-rmse:0.09542	validation_1-rmse:0.10622
[316]	validation_0-rmse:0.09537	validation_1-rmse:0.10619
[317]	validation_0-rmse:0.09527	validation_1-rmse:0.10611
[318]	validation_0-rmse:0.09521	validation_1-rmse:0.10608
[319]	validation_0-rmse:0.09516	validation_1-rmse:0.10605
[320]	validation_0-rmse:0.09513	validation_1-rmse:0.10604
[321]	validation_0-rmse:0.09509	validation_1-rmse:0.10600
[322]	validation_0-rmse:0.09502	validation_1-rmse:0.10594
[323]	validation_0-rmse:0.09498	validation_1-rmse:0.10591
[324]	validation_0-rmse:0.09496	validation_1-rmse:0.10589
[325]	validation_0-rmse:0.09487	validation_1-rmse:0.10582
[326]	validation_0-rmse:0.09484	validation_1-rmse:0.10579
[327]	validation_0-rmse:0.09475	validation_1-rmse:0.10574
[328]	validation_0-rmse:0.09468	validation_1-rmse:0.10569
[329]	validation_0-rmse:0.09461	validation_1-rmse:0.10564
[330]	validation_0-rmse:0.09450	validation_1-rmse:0.10555
[331]	validation_0-rmse:0.09444	validation_1-rmse:0.10552
[332]	validation_0-rmse:0.09434	validation_1-rmse:0.10543
