
Feature reduction based on permutation importance ...
[305]	validation_0-rmse:84.04499	validation_1-rmse:84.04499
[306]	validation_0-rmse:84.00352	validation_1-rmse:84.00352
[307]	validation_0-rmse:83.98444	validation_1-rmse:83.98444
[308]	validation_0-rmse:83.96838	validation_1-rmse:83.96838
[309]	validation_0-rmse:83.93007	validation_1-rmse:83.93007
[310]	validation_0-rmse:83.86151	validation_1-rmse:83.86151
[311]	validation_0-rmse:83.84227	validation_1-rmse:83.84227
[312]	validation_0-rmse:83.80353	validation_1-rmse:83.80353
[313]	validation_0-rmse:83.72950	validation_1-rmse:83.72950
[314]	validation_0-rmse:83.69012	validation_1-rmse:83.69012
[315]	validation_0-rmse:83.66371	validation_1-rmse:83.66371
[316]	validation_0-rmse:83.62331	validation_1-rmse:83.62331
[317]	validation_0-rmse:83.61752	validation_1-rmse:83.61752
[318]	validation_0-rmse:83.59992	validation_1-rmse:83.59992
[319]	validation_0-rmse:83.49602	validation_1-rmse:83.49602
[320]	validation_0-rmse:83.42639	validation_1-rmse:83.42639
[321]	validation_0-rmse:83.40700	validation_1-rmse:83.40700
[322]	validation_0-rmse:83.36139	validation_1-rmse:83.36139
[323]	validation_0-rmse:83.31377	validation_1-rmse:83.31377
[324]	validation_0-rmse:83.26659	validation_1-rmse:83.26659
[325]	validation_0-rmse:83.23677	validation_1-rmse:83.23677
[326]	validation_0-rmse:83.17970	validation_1-rmse:83.17970
[327]	validation_0-rmse:83.13931	validation_1-rmse:83.13931
[328]	validation_0-rmse:83.10423	validation_1-rmse:83.10423
[329]	validation_0-rmse:83.04925	validation_1-rmse:83.04925
[330]	validation_0-rmse:83.01270	validation_1-rmse:83.01270
[331]	validation_0-rmse:82.98954	validation_1-rmse:82.98954
[332]	validation_0-rmse:82.89396	validation_1-rmse:82.89396
[333]	validation_0-rmse:82.86877	validation_1-rmse:82.86877
[334]	validation_0-rmse:82.81057	validation_1-rmse:82.81057
[335]	validation_0-rmse:82.80465	validation_1-rmse:82.80465
[336]	validation_0-rmse:82.75884	validation_1-rmse:82.75884
[337]	validation_0-rmse:82.70686	validation_1-rmse:82.70686
[338]	validation_0-rmse:82.59348	validation_1-rmse:82.59348
[339]	validation_0-rmse:82.52041	validation_1-rmse:82.52041
[340]	validation_0-rmse:82.47183	validation_1-rmse:82.47183
[341]	validation_0-rmse:82.43238	validation_1-rmse:82.43238
[342]	validation_0-rmse:82.41009	validation_1-rmse:82.41009
[343]	validation_0-rmse:82.34063	validation_1-rmse:82.34063
[344]	validation_0-rmse:82.28600	validation_1-rmse:82.28600
[345]	validation_0-rmse:82.25922	validation_1-rmse:82.25922
[346]	validation_0-rmse:82.21675	validation_1-rmse:82.21675
[347]	validation_0-rmse:82.18677	validation_1-rmse:82.18677
[348]	validation_0-rmse:82.15725	validation_1-rmse:82.15725
[349]	validation_0-rmse:82.10641	validation_1-rmse:82.10641
[350]	validation_0-rmse:82.05164	validation_1-rmse:82.05164
[351]	validation_0-rmse:81.99745	validation_1-rmse:81.99745
[352]	validation_0-rmse:81.93425	validation_1-rmse:81.93425
[353]	validation_0-rmse:81.89904	validation_1-rmse:81.89904
[354]	validation_0-rmse:81.85489	validation_1-rmse:81.85489
[355]	validation_0-rmse:81.80397	validation_1-rmse:81.80397
[356]	validation_0-rmse:81.75386	validation_1-rmse:81.75386
[357]	validation_0-rmse:81.65340	validation_1-rmse:81.65340
[358]	validation_0-rmse:81.63264	validation_1-rmse:81.63264
[359]	validation_0-rmse:81.60758	validation_1-rmse:81.60758
[360]	validation_0-rmse:81.56347	validation_1-rmse:81.56347
[361]	validation_0-rmse:81.51558	validation_1-rmse:81.51558
[362]	validation_0-rmse:81.47177	validation_1-rmse:81.47177
[363]	validation_0-rmse:81.43544	validation_1-rmse:81.43544
[364]	validation_0-rmse:81.42967	validation_1-rmse:81.42967
[365]	validation_0-rmse:81.40482	validation_1-rmse:81.40482
[366]	validation_0-rmse:81.34526	validation_1-rmse:81.34526
[367]	validation_0-rmse:81.31270	validation_1-rmse:81.31270
[368]	validation_0-rmse:81.28672	validation_1-rmse:81.28672
[369]	validation_0-rmse:81.25081	validation_1-rmse:81.25081
[370]	validation_0-rmse:81.13131	validation_1-rmse:81.13131
[371]	validation_0-rmse:81.07852	validation_1-rmse:81.07852
[372]	validation_0-rmse:81.03820	validation_1-rmse:81.03820
[373]	validation_0-rmse:80.99283	validation_1-rmse:80.99283
[374]	validation_0-rmse:80.95011	validation_1-rmse:80.95011
[375]	validation_0-rmse:80.87755	validation_1-rmse:80.87755
[376]	validation_0-rmse:80.85166	validation_1-rmse:80.85166
[377]	validation_0-rmse:80.78980	validation_1-rmse:80.78980
[378]	validation_0-rmse:80.72902	validation_1-rmse:80.72902
[379]	validation_0-rmse:80.64794	validation_1-rmse:80.64794
[380]	validation_0-rmse:80.62379	validation_1-rmse:80.62379
[381]	validation_0-rmse:80.59933	validation_1-rmse:80.59933
[382]	validation_0-rmse:80.57350	validation_1-rmse:80.57350
[383]	validation_0-rmse:80.54341	validation_1-rmse:80.54341
[384]	validation_0-rmse:80.51487	validation_1-rmse:80.51487
[385]	validation_0-rmse:80.47984	validation_1-rmse:80.47984
[386]	validation_0-rmse:80.39793	validation_1-rmse:80.39793
[387]	validation_0-rmse:80.32283	validation_1-rmse:80.32283
[388]	validation_0-rmse:80.29507	validation_1-rmse:80.29507
[389]	validation_0-rmse:80.25245	validation_1-rmse:80.25245
[390]	validation_0-rmse:80.22870	validation_1-rmse:80.22870
[391]	validation_0-rmse:80.19115	validation_1-rmse:80.19115
[392]	validation_0-rmse:80.14529	validation_1-rmse:80.14529
[393]	validation_0-rmse:80.10009	validation_1-rmse:80.10009
[394]	validation_0-rmse:80.06350	validation_1-rmse:80.06350
[395]	validation_0-rmse:80.03108	validation_1-rmse:80.03108
[396]	validation_0-rmse:79.98548	validation_1-rmse:79.98548
[397]	validation_0-rmse:79.93022	validation_1-rmse:79.93022
[398]	validation_0-rmse:79.88579	validation_1-rmse:79.88579
[399]	validation_0-rmse:79.85049	validation_1-rmse:79.85049
[400]	validation_0-rmse:79.83277	validation_1-rmse:79.83277
[401]	validation_0-rmse:79.80101	validation_1-rmse:79.80101
[402]	validation_0-rmse:79.75926	validation_1-rmse:79.75926
[403]	validation_0-rmse:79.72166	validation_1-rmse:79.72166
[404]	validation_0-rmse:79.67683	validation_1-rmse:79.67683
[405]	validation_0-rmse:79.63216	validation_1-rmse:79.63216
[406]	validation_0-rmse:79.57778	validation_1-rmse:79.57778
[407]	validation_0-rmse:79.54281	validation_1-rmse:79.54281
[408]	validation_0-rmse:79.52085	validation_1-rmse:79.52085
[409]	validation_0-rmse:79.46828	validation_1-rmse:79.46828
[410]	validation_0-rmse:79.41060	validation_1-rmse:79.41060
[411]	validation_0-rmse:79.39051	validation_1-rmse:79.39051
[412]	validation_0-rmse:79.34485	validation_1-rmse:79.34485
[413]	validation_0-rmse:79.33596	validation_1-rmse:79.33596
[414]	validation_0-rmse:79.31293	validation_1-rmse:79.31293
