
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[223]	validation_0-rmse:2.12865	validation_1-rmse:2.21442
[224]	validation_0-rmse:2.12612	validation_1-rmse:2.21185
[225]	validation_0-rmse:2.12411	validation_1-rmse:2.21013
[226]	validation_0-rmse:2.12333	validation_1-rmse:2.20944
[227]	validation_0-rmse:2.12180	validation_1-rmse:2.20800
[228]	validation_0-rmse:2.12027	validation_1-rmse:2.20633
[229]	validation_0-rmse:2.11998	validation_1-rmse:2.20627
[230]	validation_0-rmse:2.11875	validation_1-rmse:2.20515
[231]	validation_0-rmse:2.11795	validation_1-rmse:2.20456
[232]	validation_0-rmse:2.11489	validation_1-rmse:2.20200
[233]	validation_0-rmse:2.11256	validation_1-rmse:2.19977
[234]	validation_0-rmse:2.11213	validation_1-rmse:2.19970
[235]	validation_0-rmse:2.11051	validation_1-rmse:2.19831
[236]	validation_0-rmse:2.10914	validation_1-rmse:2.19696
[237]	validation_0-rmse:2.10684	validation_1-rmse:2.19509
[238]	validation_0-rmse:2.10633	validation_1-rmse:2.19495
[239]	validation_0-rmse:2.10397	validation_1-rmse:2.19291
[240]	validation_0-rmse:2.10121	validation_1-rmse:2.19062
[241]	validation_0-rmse:2.09861	validation_1-rmse:2.18771
[242]	validation_0-rmse:2.09774	validation_1-rmse:2.18692
[243]	validation_0-rmse:2.09725	validation_1-rmse:2.18656
[244]	validation_0-rmse:2.09624	validation_1-rmse:2.18567
[245]	validation_0-rmse:2.09469	validation_1-rmse:2.18426
[246]	validation_0-rmse:2.09309	validation_1-rmse:2.18276
[247]	validation_0-rmse:2.09153	validation_1-rmse:2.18132
[248]	validation_0-rmse:2.09040	validation_1-rmse:2.18029
[249]	validation_0-rmse:2.08819	validation_1-rmse:2.17836
[250]	validation_0-rmse:2.08716	validation_1-rmse:2.17739
[251]	validation_0-rmse:2.08609	validation_1-rmse:2.17632
[252]	validation_0-rmse:2.08444	validation_1-rmse:2.17480
[253]	validation_0-rmse:2.08200	validation_1-rmse:2.17255
[254]	validation_0-rmse:2.07871	validation_1-rmse:2.16935
[255]	validation_0-rmse:2.07694	validation_1-rmse:2.16773
[256]	validation_0-rmse:2.07548	validation_1-rmse:2.16668
[257]	validation_0-rmse:2.07390	validation_1-rmse:2.16516
[258]	validation_0-rmse:2.07168	validation_1-rmse:2.16316
[259]	validation_0-rmse:2.06906	validation_1-rmse:2.16091
[260]	validation_0-rmse:2.06764	validation_1-rmse:2.15950
[261]	validation_0-rmse:2.06636	validation_1-rmse:2.15860
[262]	validation_0-rmse:2.06487	validation_1-rmse:2.15712
[263]	validation_0-rmse:2.06337	validation_1-rmse:2.15598
[264]	validation_0-rmse:2.06135	validation_1-rmse:2.15409
[265]	validation_0-rmse:2.05932	validation_1-rmse:2.15206
[266]	validation_0-rmse:2.05732	validation_1-rmse:2.15018
[267]	validation_0-rmse:2.05662	validation_1-rmse:2.14919
[268]	validation_0-rmse:2.05428	validation_1-rmse:2.14697
[269]	validation_0-rmse:2.05141	validation_1-rmse:2.14393
[270]	validation_0-rmse:2.04943	validation_1-rmse:2.14208
[271]	validation_0-rmse:2.04769	validation_1-rmse:2.14045
[272]	validation_0-rmse:2.04686	validation_1-rmse:2.13988
[273]	validation_0-rmse:2.04566	validation_1-rmse:2.13874
[274]	validation_0-rmse:2.04512	validation_1-rmse:2.13852
[275]	validation_0-rmse:2.04254	validation_1-rmse:2.13613
[276]	validation_0-rmse:2.04212	validation_1-rmse:2.13574
[277]	validation_0-rmse:2.03929	validation_1-rmse:2.13288
[278]	validation_0-rmse:2.03769	validation_1-rmse:2.13132
[279]	validation_0-rmse:2.03396	validation_1-rmse:2.12744
[280]	validation_0-rmse:2.03248	validation_1-rmse:2.12636
[281]	validation_0-rmse:2.03145	validation_1-rmse:2.12541
[282]	validation_0-rmse:2.03048	validation_1-rmse:2.12438
[283]	validation_0-rmse:2.02981	validation_1-rmse:2.12383
[284]	validation_0-rmse:2.02904	validation_1-rmse:2.12323
[285]	validation_0-rmse:2.02834	validation_1-rmse:2.12248
[286]	validation_0-rmse:2.02685	validation_1-rmse:2.12073
[287]	validation_0-rmse:2.02495	validation_1-rmse:2.11898
[288]	validation_0-rmse:2.02350	validation_1-rmse:2.11777
[289]	validation_0-rmse:2.02283	validation_1-rmse:2.11732
[290]	validation_0-rmse:2.02088	validation_1-rmse:2.11558
[291]	validation_0-rmse:2.01992	validation_1-rmse:2.11470
[292]	validation_0-rmse:2.01695	validation_1-rmse:2.11214
[293]	validation_0-rmse:2.01653	validation_1-rmse:2.11181
[294]	validation_0-rmse:2.01446	validation_1-rmse:2.10946
[295]	validation_0-rmse:2.01324	validation_1-rmse:2.10821
[296]	validation_0-rmse:2.01275	validation_1-rmse:2.10815
[297]	validation_0-rmse:2.01079	validation_1-rmse:2.10642
[298]	validation_0-rmse:2.00867	validation_1-rmse:2.10437
[299]	validation_0-rmse:2.00578	validation_1-rmse:2.10193
[300]	validation_0-rmse:2.00395	validation_1-rmse:2.10062
[301]	validation_0-rmse:2.00234	validation_1-rmse:2.09923
[302]	validation_0-rmse:2.00109	validation_1-rmse:2.09795
[303]	validation_0-rmse:1.99738	validation_1-rmse:2.09427
[304]	validation_0-rmse:1.99547	validation_1-rmse:2.09242
[305]	validation_0-rmse:1.99440	validation_1-rmse:2.09152
[306]	validation_0-rmse:1.99349	validation_1-rmse:2.09088
[307]	validation_0-rmse:1.99158	validation_1-rmse:2.08923
[308]	validation_0-rmse:1.98987	validation_1-rmse:2.08779
[309]	validation_0-rmse:1.98889	validation_1-rmse:2.08683
[310]	validation_0-rmse:1.98755	validation_1-rmse:2.08575
[311]	validation_0-rmse:1.98675	validation_1-rmse:2.08541
[312]	validation_0-rmse:1.98649	validation_1-rmse:2.08534
[313]	validation_0-rmse:1.98422	validation_1-rmse:2.08313
[314]	validation_0-rmse:1.98288	validation_1-rmse:2.08200
[315]	validation_0-rmse:1.98082	validation_1-rmse:2.08021
[316]	validation_0-rmse:1.97960	validation_1-rmse:2.07869
[317]	validation_0-rmse:1.97765	validation_1-rmse:2.07715
[318]	validation_0-rmse:1.97634	validation_1-rmse:2.07598
[319]	validation_0-rmse:1.97499	validation_1-rmse:2.07481
[320]	validation_0-rmse:1.97416	validation_1-rmse:2.07427
[321]	validation_0-rmse:1.97179	validation_1-rmse:2.07194
[322]	validation_0-rmse:1.97019	validation_1-rmse:2.07074
[323]	validation_0-rmse:1.96806	validation_1-rmse:2.06864
[324]	validation_0-rmse:1.96632	validation_1-rmse:2.06710
[325]	validation_0-rmse:1.96536	validation_1-rmse:2.06641
[326]	validation_0-rmse:1.96484	validation_1-rmse:2.06602
[327]	validation_0-rmse:1.96416	validation_1-rmse:2.06542
[328]	validation_0-rmse:1.96289	validation_1-rmse:2.06481
[329]	validation_0-rmse:1.96186	validation_1-rmse:2.06370
[330]	validation_0-rmse:1.96041	validation_1-rmse:2.06251
[331]	validation_0-rmse:1.95992	validation_1-rmse:2.06219
[332]	validation_0-rmse:1.95934	validation_1-rmse:2.06171
[333]	validation_0-rmse:1.95790	validation_1-rmse:2.06046
[334]	validation_0-rmse:1.95675	validation_1-rmse:2.05962
[335]	validation_0-rmse:1.95597	validation_1-rmse:2.05883
[336]	validation_0-rmse:1.95409	validation_1-rmse:2.05701
[337]	validation_0-rmse:1.95252	validation_1-rmse:2.05573
[338]	validation_0-rmse:1.95113	validation_1-rmse:2.05430
[339]	validation_0-rmse:1.94942	validation_1-rmse:2.05276
[340]	validation_0-rmse:1.94801	validation_1-rmse:2.05129
[341]	validation_0-rmse:1.94604	validation_1-rmse:2.04937
[342]	validation_0-rmse:1.94579	validation_1-rmse:2.04930
[343]	validation_0-rmse:1.94532	validation_1-rmse:2.04902
[344]	validation_0-rmse:1.94362	validation_1-rmse:2.04745
[345]	validation_0-rmse:1.94265	validation_1-rmse:2.04666
[346]	validation_0-rmse:1.94162	validation_1-rmse:2.04595
[347]	validation_0-rmse:1.94082	validation_1-rmse:2.04551
[348]	validation_0-rmse:1.93979	validation_1-rmse:2.04469
[349]	validation_0-rmse:1.93899	validation_1-rmse:2.04402
[350]	validation_0-rmse:1.93859	validation_1-rmse:2.04374
[351]	validation_0-rmse:1.93815	validation_1-rmse:2.04342
[352]	validation_0-rmse:1.93757	validation_1-rmse:2.04321
[353]	validation_0-rmse:1.93575	validation_1-rmse:2.04151
[354]	validation_0-rmse:1.93402	validation_1-rmse:2.03971
[355]	validation_0-rmse:1.93283	validation_1-rmse:2.03867
[356]	validation_0-rmse:1.93110	validation_1-rmse:2.03720
[357]	validation_0-rmse:1.93072	validation_1-rmse:2.03701
[358]	validation_0-rmse:1.93014	validation_1-rmse:2.03644
[359]	validation_0-rmse:1.92885	validation_1-rmse:2.03521
[360]	validation_0-rmse:1.92734	validation_1-rmse:2.03393
[361]	validation_0-rmse:1.92667	validation_1-rmse:2.03338
[362]	validation_0-rmse:1.92490	validation_1-rmse:2.03184
[363]	validation_0-rmse:1.92397	validation_1-rmse:2.03125
[364]	validation_0-rmse:1.92277	validation_1-rmse:2.03021
[365]	validation_0-rmse:1.92180	validation_1-rmse:2.02947
[366]	validation_0-rmse:1.92071	validation_1-rmse:2.02831
[367]	validation_0-rmse:1.91937	validation_1-rmse:2.02711
[368]	validation_0-rmse:1.91882	validation_1-rmse:2.02686
[369]	validation_0-rmse:1.91743	validation_1-rmse:2.02531
[370]	validation_0-rmse:1.91682	validation_1-rmse:2.02479
[371]	validation_0-rmse:1.91582	validation_1-rmse:2.02378
[372]	validation_0-rmse:1.91445	validation_1-rmse:2.02266
[373]	validation_0-rmse:1.91317	validation_1-rmse:2.02140
[374]	validation_0-rmse:1.91113	validation_1-rmse:2.01944
