
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:45:00 ...
>>> Fitting model to training data ...
[285]	validation_0-rmse:86.71960	validation_1-rmse:94.50858
[286]	validation_0-rmse:86.63904	validation_1-rmse:94.44413
[287]	validation_0-rmse:86.57649	validation_1-rmse:94.39763
[288]	validation_0-rmse:86.52832	validation_1-rmse:94.36182
[289]	validation_0-rmse:86.49459	validation_1-rmse:94.36142
[290]	validation_0-rmse:86.43593	validation_1-rmse:94.30555
[291]	validation_0-rmse:86.38475	validation_1-rmse:94.27032
[292]	validation_0-rmse:86.35844	validation_1-rmse:94.26172
[293]	validation_0-rmse:86.31893	validation_1-rmse:94.22889
[294]	validation_0-rmse:86.29327	validation_1-rmse:94.19967
[295]	validation_0-rmse:86.20121	validation_1-rmse:94.13891
[296]	validation_0-rmse:86.16732	validation_1-rmse:94.11714
[297]	validation_0-rmse:86.14698	validation_1-rmse:94.10963
[298]	validation_0-rmse:86.09705	validation_1-rmse:94.06476
[299]	validation_0-rmse:86.03791	validation_1-rmse:94.02190
[300]	validation_0-rmse:85.97929	validation_1-rmse:93.95942
[301]	validation_0-rmse:85.91995	validation_1-rmse:93.93614
[302]	validation_0-rmse:85.90340	validation_1-rmse:93.92721
[303]	validation_0-rmse:85.88348	validation_1-rmse:93.91515
[304]	validation_0-rmse:85.86554	validation_1-rmse:93.90243
[305]	validation_0-rmse:85.74291	validation_1-rmse:93.79198
[306]	validation_0-rmse:85.72704	validation_1-rmse:93.77630
[307]	validation_0-rmse:85.65044	validation_1-rmse:93.74380
[308]	validation_0-rmse:85.62551	validation_1-rmse:93.73262
[309]	validation_0-rmse:85.59969	validation_1-rmse:93.74105
[310]	validation_0-rmse:85.51014	validation_1-rmse:93.67058
[311]	validation_0-rmse:85.49625	validation_1-rmse:93.66360
[312]	validation_0-rmse:85.43262	validation_1-rmse:93.61026
[313]	validation_0-rmse:85.40342	validation_1-rmse:93.59327
[314]	validation_0-rmse:85.35043	validation_1-rmse:93.56299
[315]	validation_0-rmse:85.31772	validation_1-rmse:93.54798
[316]	validation_0-rmse:85.27228	validation_1-rmse:93.53170
[317]	validation_0-rmse:85.23315	validation_1-rmse:93.51191
[318]	validation_0-rmse:85.21690	validation_1-rmse:93.49795
[319]	validation_0-rmse:85.20513	validation_1-rmse:93.49083
[320]	validation_0-rmse:85.18999	validation_1-rmse:93.48151
[321]	validation_0-rmse:85.13155	validation_1-rmse:93.44750
[322]	validation_0-rmse:85.09500	validation_1-rmse:93.46544
[323]	validation_0-rmse:85.04045	validation_1-rmse:93.47129
[324]	validation_0-rmse:84.99164	validation_1-rmse:93.44534
[325]	validation_0-rmse:84.94329	validation_1-rmse:93.42307
[326]	validation_0-rmse:84.91418	validation_1-rmse:93.42054
[327]	validation_0-rmse:84.87372	validation_1-rmse:93.40733
[328]	validation_0-rmse:84.86914	validation_1-rmse:93.40446
[329]	validation_0-rmse:84.85851	validation_1-rmse:93.39671
[330]	validation_0-rmse:84.81177	validation_1-rmse:93.36887
[331]	validation_0-rmse:84.73917	validation_1-rmse:93.31329
[332]	validation_0-rmse:84.63762	validation_1-rmse:93.24263
[333]	validation_0-rmse:84.56411	validation_1-rmse:93.18183
[334]	validation_0-rmse:84.50428	validation_1-rmse:93.14312
[335]	validation_0-rmse:84.46366	validation_1-rmse:93.13814
[336]	validation_0-rmse:84.44738	validation_1-rmse:93.14476
[337]	validation_0-rmse:84.41668	validation_1-rmse:93.13537
[338]	validation_0-rmse:84.39020	validation_1-rmse:93.12675
[339]	validation_0-rmse:84.36731	validation_1-rmse:93.10789
[340]	validation_0-rmse:84.33005	validation_1-rmse:93.07562
[341]	validation_0-rmse:84.26989	validation_1-rmse:93.02186
[342]	validation_0-rmse:84.24248	validation_1-rmse:93.01205
[343]	validation_0-rmse:84.21116	validation_1-rmse:93.01139
[344]	validation_0-rmse:84.17382	validation_1-rmse:92.97769
[345]	validation_0-rmse:84.15154	validation_1-rmse:92.96388
[346]	validation_0-rmse:84.13930	validation_1-rmse:92.95833
[347]	validation_0-rmse:84.11388	validation_1-rmse:92.94930
[348]	validation_0-rmse:84.05341	validation_1-rmse:92.89402
[349]	validation_0-rmse:84.01079	validation_1-rmse:92.88454
[350]	validation_0-rmse:83.97487	validation_1-rmse:92.86579
[351]	validation_0-rmse:83.95457	validation_1-rmse:92.87488
[352]	validation_0-rmse:83.92496	validation_1-rmse:92.88001
[353]	validation_0-rmse:83.87205	validation_1-rmse:92.83624
[354]	validation_0-rmse:83.83537	validation_1-rmse:92.80414
[355]	validation_0-rmse:83.81167	validation_1-rmse:92.79132
[356]	validation_0-rmse:83.79628	validation_1-rmse:92.77192
[357]	validation_0-rmse:83.74391	validation_1-rmse:92.74202
[358]	validation_0-rmse:83.74113	validation_1-rmse:92.74035
[359]	validation_0-rmse:83.70123	validation_1-rmse:92.71676
[360]	validation_0-rmse:83.65068	validation_1-rmse:92.68946
[361]	validation_0-rmse:83.62111	validation_1-rmse:92.68673
[362]	validation_0-rmse:83.58833	validation_1-rmse:92.67964
[363]	validation_0-rmse:83.57453	validation_1-rmse:92.67557
[364]	validation_0-rmse:83.54912	validation_1-rmse:92.66589
[365]	validation_0-rmse:83.50021	validation_1-rmse:92.64198
[366]	validation_0-rmse:83.48029	validation_1-rmse:92.63306
[367]	validation_0-rmse:83.44556	validation_1-rmse:92.61526
[368]	validation_0-rmse:83.42066	validation_1-rmse:92.60910
[369]	validation_0-rmse:83.35648	validation_1-rmse:92.56645
[370]	validation_0-rmse:83.29920	validation_1-rmse:92.53824
[371]	validation_0-rmse:83.27494	validation_1-rmse:92.53399
[372]	validation_0-rmse:83.25449	validation_1-rmse:92.52706
[373]	validation_0-rmse:83.19912	validation_1-rmse:92.48973
[374]	validation_0-rmse:83.16013	validation_1-rmse:92.46528
[375]	validation_0-rmse:83.13265	validation_1-rmse:92.46428
[376]	validation_0-rmse:83.12433	validation_1-rmse:92.45976
[377]	validation_0-rmse:83.05308	validation_1-rmse:92.42007
[378]	validation_0-rmse:83.01065	validation_1-rmse:92.39306
[379]	validation_0-rmse:82.97472	validation_1-rmse:92.37692
[380]	validation_0-rmse:82.94472	validation_1-rmse:92.36134
[381]	validation_0-rmse:82.87665	validation_1-rmse:92.32501
[382]	validation_0-rmse:82.82457	validation_1-rmse:92.29062
[383]	validation_0-rmse:82.80238	validation_1-rmse:92.27819
[384]	validation_0-rmse:82.76978	validation_1-rmse:92.25910
[385]	validation_0-rmse:82.74781	validation_1-rmse:92.25285
[386]	validation_0-rmse:82.68200	validation_1-rmse:92.22231
[387]	validation_0-rmse:82.66140	validation_1-rmse:92.20670
[388]	validation_0-rmse:82.65275	validation_1-rmse:92.20321
[389]	validation_0-rmse:82.61976	validation_1-rmse:92.19638
[390]	validation_0-rmse:82.58937	validation_1-rmse:92.19262
[391]	validation_0-rmse:82.55095	validation_1-rmse:92.18861
[392]	validation_0-rmse:82.53215	validation_1-rmse:92.17478
[393]	validation_0-rmse:82.50682	validation_1-rmse:92.17149
[394]	validation_0-rmse:82.48012	validation_1-rmse:92.16972
[395]	validation_0-rmse:82.46239	validation_1-rmse:92.16273
[396]	validation_0-rmse:82.42643	validation_1-rmse:92.13887
[397]	validation_0-rmse:82.32860	validation_1-rmse:92.05681
[398]	validation_0-rmse:82.26310	validation_1-rmse:92.01307
[399]	validation_0-rmse:82.22824	validation_1-rmse:91.98679
[400]	validation_0-rmse:82.20059	validation_1-rmse:91.98084
[401]	validation_0-rmse:82.18062	validation_1-rmse:91.97730
[402]	validation_0-rmse:82.10947	validation_1-rmse:91.93012
[403]	validation_0-rmse:82.05612	validation_1-rmse:91.92315
[404]	validation_0-rmse:82.00207	validation_1-rmse:91.88810
[405]	validation_0-rmse:81.98612	validation_1-rmse:91.88409
[406]	validation_0-rmse:81.95493	validation_1-rmse:91.86307
[407]	validation_0-rmse:81.93749	validation_1-rmse:91.87480
[408]	validation_0-rmse:81.88388	validation_1-rmse:91.83491
[409]	validation_0-rmse:81.84518	validation_1-rmse:91.82409
[410]	validation_0-rmse:81.79402	validation_1-rmse:91.78961
[411]	validation_0-rmse:81.76161	validation_1-rmse:91.76967
[412]	validation_0-rmse:81.73253	validation_1-rmse:91.74746
[413]	validation_0-rmse:81.70905	validation_1-rmse:91.74588
[414]	validation_0-rmse:81.67225	validation_1-rmse:91.72022
[415]	validation_0-rmse:81.66613	validation_1-rmse:91.71643
[416]	validation_0-rmse:81.66066	validation_1-rmse:91.71429
[417]	validation_0-rmse:81.65534	validation_1-rmse:91.71342
[418]	validation_0-rmse:81.56667	validation_1-rmse:91.66858
[419]	validation_0-rmse:81.49769	validation_1-rmse:91.64769
[420]	validation_0-rmse:81.46025	validation_1-rmse:91.64722
[421]	validation_0-rmse:81.39744	validation_1-rmse:91.61435
[422]	validation_0-rmse:81.34534	validation_1-rmse:91.59757
[423]	validation_0-rmse:81.29192	validation_1-rmse:91.55927
[424]	validation_0-rmse:81.25113	validation_1-rmse:91.56185
[425]	validation_0-rmse:81.22223	validation_1-rmse:91.54370
