
Feature reduction based on permutation importance ...
[267]	validation_0-rmse:2.05002	validation_1-rmse:2.05002
[268]	validation_0-rmse:2.04924	validation_1-rmse:2.04924
[269]	validation_0-rmse:2.04739	validation_1-rmse:2.04739
[270]	validation_0-rmse:2.04644	validation_1-rmse:2.04644
[271]	validation_0-rmse:2.04486	validation_1-rmse:2.04486
[272]	validation_0-rmse:2.04429	validation_1-rmse:2.04429
[273]	validation_0-rmse:2.04220	validation_1-rmse:2.04220
[274]	validation_0-rmse:2.03932	validation_1-rmse:2.03932
[275]	validation_0-rmse:2.03846	validation_1-rmse:2.03846
[276]	validation_0-rmse:2.03701	validation_1-rmse:2.03701
[277]	validation_0-rmse:2.03648	validation_1-rmse:2.03648
[278]	validation_0-rmse:2.03529	validation_1-rmse:2.03529
[279]	validation_0-rmse:2.03246	validation_1-rmse:2.03246
[280]	validation_0-rmse:2.03096	validation_1-rmse:2.03096
[281]	validation_0-rmse:2.02952	validation_1-rmse:2.02952
[282]	validation_0-rmse:2.02866	validation_1-rmse:2.02866
[283]	validation_0-rmse:2.02659	validation_1-rmse:2.02659
[284]	validation_0-rmse:2.02465	validation_1-rmse:2.02465
[285]	validation_0-rmse:2.02409	validation_1-rmse:2.02409
[286]	validation_0-rmse:2.02337	validation_1-rmse:2.02337
[287]	validation_0-rmse:2.02090	validation_1-rmse:2.02090
[288]	validation_0-rmse:2.01795	validation_1-rmse:2.01795
[289]	validation_0-rmse:2.01509	validation_1-rmse:2.01509
[290]	validation_0-rmse:2.01439	validation_1-rmse:2.01439
[291]	validation_0-rmse:2.01294	validation_1-rmse:2.01294
[292]	validation_0-rmse:2.01214	validation_1-rmse:2.01214
[293]	validation_0-rmse:2.01144	validation_1-rmse:2.01144
[294]	validation_0-rmse:2.01068	validation_1-rmse:2.01068
[295]	validation_0-rmse:2.00954	validation_1-rmse:2.00954
[296]	validation_0-rmse:2.00905	validation_1-rmse:2.00905
[297]	validation_0-rmse:2.00688	validation_1-rmse:2.00688
[298]	validation_0-rmse:2.00511	validation_1-rmse:2.00511
[299]	validation_0-rmse:2.00408	validation_1-rmse:2.00408
[300]	validation_0-rmse:2.00330	validation_1-rmse:2.00330
[301]	validation_0-rmse:2.00101	validation_1-rmse:2.00101
[302]	validation_0-rmse:1.99964	validation_1-rmse:1.99964
[303]	validation_0-rmse:1.99859	validation_1-rmse:1.99859
[304]	validation_0-rmse:1.99798	validation_1-rmse:1.99798
[305]	validation_0-rmse:1.99592	validation_1-rmse:1.99592
[306]	validation_0-rmse:1.99288	validation_1-rmse:1.99288
[307]	validation_0-rmse:1.99123	validation_1-rmse:1.99123
[308]	validation_0-rmse:1.98888	validation_1-rmse:1.98888
[309]	validation_0-rmse:1.98745	validation_1-rmse:1.98745
[310]	validation_0-rmse:1.98681	validation_1-rmse:1.98681
[311]	validation_0-rmse:1.98575	validation_1-rmse:1.98575
[312]	validation_0-rmse:1.98410	validation_1-rmse:1.98410
[313]	validation_0-rmse:1.98275	validation_1-rmse:1.98275
[314]	validation_0-rmse:1.98197	validation_1-rmse:1.98197
[315]	validation_0-rmse:1.98124	validation_1-rmse:1.98124
[316]	validation_0-rmse:1.98035	validation_1-rmse:1.98035
[317]	validation_0-rmse:1.97908	validation_1-rmse:1.97908
[318]	validation_0-rmse:1.97745	validation_1-rmse:1.97745
[319]	validation_0-rmse:1.97688	validation_1-rmse:1.97688
[320]	validation_0-rmse:1.97626	validation_1-rmse:1.97626
[321]	validation_0-rmse:1.97474	validation_1-rmse:1.97474
[322]	validation_0-rmse:1.97397	validation_1-rmse:1.97397
[323]	validation_0-rmse:1.97339	validation_1-rmse:1.97339
[324]	validation_0-rmse:1.97296	validation_1-rmse:1.97296
[325]	validation_0-rmse:1.97188	validation_1-rmse:1.97188
[326]	validation_0-rmse:1.96977	validation_1-rmse:1.96977
[327]	validation_0-rmse:1.96944	validation_1-rmse:1.96944
[328]	validation_0-rmse:1.96807	validation_1-rmse:1.96807
[329]	validation_0-rmse:1.96597	validation_1-rmse:1.96597
[330]	validation_0-rmse:1.96518	validation_1-rmse:1.96518
