
Feature reduction based on permutation importance ...
[306]	validation_0-rmse:14.30910	validation_1-rmse:14.30910
[307]	validation_0-rmse:14.30392	validation_1-rmse:14.30392
[308]	validation_0-rmse:14.26553	validation_1-rmse:14.26553
[309]	validation_0-rmse:14.25690	validation_1-rmse:14.25690
[310]	validation_0-rmse:14.24637	validation_1-rmse:14.24637
[311]	validation_0-rmse:14.22093	validation_1-rmse:14.22093
[312]	validation_0-rmse:14.21098	validation_1-rmse:14.21098
[313]	validation_0-rmse:14.20358	validation_1-rmse:14.20358
[314]	validation_0-rmse:14.18279	validation_1-rmse:14.18279
[315]	validation_0-rmse:14.17797	validation_1-rmse:14.17797
[316]	validation_0-rmse:14.17117	validation_1-rmse:14.17117
[317]	validation_0-rmse:14.15828	validation_1-rmse:14.15828
[318]	validation_0-rmse:14.15083	validation_1-rmse:14.15083
[319]	validation_0-rmse:14.14243	validation_1-rmse:14.14243
[320]	validation_0-rmse:14.13236	validation_1-rmse:14.13236
[321]	validation_0-rmse:14.12465	validation_1-rmse:14.12465
[322]	validation_0-rmse:14.11600	validation_1-rmse:14.11600
[323]	validation_0-rmse:14.10381	validation_1-rmse:14.10381
[324]	validation_0-rmse:14.09638	validation_1-rmse:14.09638
[325]	validation_0-rmse:14.08156	validation_1-rmse:14.08156
[326]	validation_0-rmse:14.07476	validation_1-rmse:14.07476
[327]	validation_0-rmse:14.06876	validation_1-rmse:14.06876
[328]	validation_0-rmse:14.05836	validation_1-rmse:14.05836
[329]	validation_0-rmse:14.05163	validation_1-rmse:14.05163
[330]	validation_0-rmse:14.04521	validation_1-rmse:14.04521
[331]	validation_0-rmse:14.04097	validation_1-rmse:14.04097
[332]	validation_0-rmse:14.02050	validation_1-rmse:14.02050
[333]	validation_0-rmse:14.01303	validation_1-rmse:14.01303
[334]	validation_0-rmse:13.95476	validation_1-rmse:13.95476
[335]	validation_0-rmse:13.94693	validation_1-rmse:13.94693
[336]	validation_0-rmse:13.94173	validation_1-rmse:13.94173
[337]	validation_0-rmse:13.91708	validation_1-rmse:13.91708
[338]	validation_0-rmse:13.90136	validation_1-rmse:13.90136
[339]	validation_0-rmse:13.88699	validation_1-rmse:13.88699
[340]	validation_0-rmse:13.88292	validation_1-rmse:13.88292
[341]	validation_0-rmse:13.86895	validation_1-rmse:13.86895
[342]	validation_0-rmse:13.84968	validation_1-rmse:13.84968
[343]	validation_0-rmse:13.84109	validation_1-rmse:13.84109
[344]	validation_0-rmse:13.83673	validation_1-rmse:13.83673
[345]	validation_0-rmse:13.81448	validation_1-rmse:13.81448
[346]	validation_0-rmse:13.80275	validation_1-rmse:13.80275
[347]	validation_0-rmse:13.78811	validation_1-rmse:13.78811
[348]	validation_0-rmse:13.77512	validation_1-rmse:13.77512
[349]	validation_0-rmse:13.77009	validation_1-rmse:13.77009
[350]	validation_0-rmse:13.75733	validation_1-rmse:13.75733
[351]	validation_0-rmse:13.74015	validation_1-rmse:13.74015
[352]	validation_0-rmse:13.73591	validation_1-rmse:13.73591
[353]	validation_0-rmse:13.72873	validation_1-rmse:13.72873
[354]	validation_0-rmse:13.72234	validation_1-rmse:13.72234
[355]	validation_0-rmse:13.71150	validation_1-rmse:13.71150
[356]	validation_0-rmse:13.70235	validation_1-rmse:13.70235
[357]	validation_0-rmse:13.69514	validation_1-rmse:13.69514
[358]	validation_0-rmse:13.68766	validation_1-rmse:13.68766
[359]	validation_0-rmse:13.67362	validation_1-rmse:13.67362
[360]	validation_0-rmse:13.66864	validation_1-rmse:13.66864
[361]	validation_0-rmse:13.65899	validation_1-rmse:13.65899
[362]	validation_0-rmse:13.63874	validation_1-rmse:13.63874
[363]	validation_0-rmse:13.63084	validation_1-rmse:13.63084
[364]	validation_0-rmse:13.62210	validation_1-rmse:13.62210
[365]	validation_0-rmse:13.61410	validation_1-rmse:13.61410
[366]	validation_0-rmse:13.60787	validation_1-rmse:13.60787
[367]	validation_0-rmse:13.60240	validation_1-rmse:13.60240
[368]	validation_0-rmse:13.59802	validation_1-rmse:13.59802
[369]	validation_0-rmse:13.55172	validation_1-rmse:13.55172
[370]	validation_0-rmse:13.53079	validation_1-rmse:13.53079
[371]	validation_0-rmse:13.52386	validation_1-rmse:13.52386
[372]	validation_0-rmse:13.50960	validation_1-rmse:13.50960
[373]	validation_0-rmse:13.49590	validation_1-rmse:13.49590
[374]	validation_0-rmse:13.48175	validation_1-rmse:13.48175
[375]	validation_0-rmse:13.45006	validation_1-rmse:13.45006
[376]	validation_0-rmse:13.42550	validation_1-rmse:13.42550
[377]	validation_0-rmse:13.42198	validation_1-rmse:13.42198
[378]	validation_0-rmse:13.39716	validation_1-rmse:13.39716
[379]	validation_0-rmse:13.38963	validation_1-rmse:13.38963
[380]	validation_0-rmse:13.36751	validation_1-rmse:13.36751
[381]	validation_0-rmse:13.33696	validation_1-rmse:13.33696
[382]	validation_0-rmse:13.31676	validation_1-rmse:13.31676
[383]	validation_0-rmse:13.29582	validation_1-rmse:13.29582
[384]	validation_0-rmse:13.26415	validation_1-rmse:13.26415
[385]	validation_0-rmse:13.25605	validation_1-rmse:13.25605
[386]	validation_0-rmse:13.21593	validation_1-rmse:13.21593
[387]	validation_0-rmse:13.20735	validation_1-rmse:13.20735
[388]	validation_0-rmse:13.17912	validation_1-rmse:13.17912
[389]	validation_0-rmse:13.17020	validation_1-rmse:13.17020
[390]	validation_0-rmse:13.16264	validation_1-rmse:13.16264
[391]	validation_0-rmse:13.11969	validation_1-rmse:13.11969
[392]	validation_0-rmse:13.11533	validation_1-rmse:13.11533
[393]	validation_0-rmse:13.09849	validation_1-rmse:13.09849
[394]	validation_0-rmse:13.08452	validation_1-rmse:13.08452
[395]	validation_0-rmse:13.06520	validation_1-rmse:13.06520
[396]	validation_0-rmse:13.05104	validation_1-rmse:13.05104
[397]	validation_0-rmse:13.04306	validation_1-rmse:13.04306
[398]	validation_0-rmse:13.03013	validation_1-rmse:13.03013
[399]	validation_0-rmse:13.01553	validation_1-rmse:13.01553
[400]	validation_0-rmse:12.99741	validation_1-rmse:12.99741
[401]	validation_0-rmse:12.99065	validation_1-rmse:12.99065
[402]	validation_0-rmse:12.98416	validation_1-rmse:12.98416
[403]	validation_0-rmse:12.97338	validation_1-rmse:12.97338
[404]	validation_0-rmse:12.95882	validation_1-rmse:12.95882
[405]	validation_0-rmse:12.94166	validation_1-rmse:12.94166
[406]	validation_0-rmse:12.93058	validation_1-rmse:12.93058
[407]	validation_0-rmse:12.92285	validation_1-rmse:12.92285
[408]	validation_0-rmse:12.91697	validation_1-rmse:12.91697
[409]	validation_0-rmse:12.90464	validation_1-rmse:12.90464
[410]	validation_0-rmse:12.90028	validation_1-rmse:12.90028
[411]	validation_0-rmse:12.89456	validation_1-rmse:12.89456
[412]	validation_0-rmse:12.89053	validation_1-rmse:12.89053
[413]	validation_0-rmse:12.88227	validation_1-rmse:12.88227
[414]	validation_0-rmse:12.87947	validation_1-rmse:12.87947
[415]	validation_0-rmse:12.87787	validation_1-rmse:12.87787
[416]	validation_0-rmse:12.86614	validation_1-rmse:12.86614
[417]	validation_0-rmse:12.85219	validation_1-rmse:12.85219
[418]	validation_0-rmse:12.84314	validation_1-rmse:12.84314
[419]	validation_0-rmse:12.83890	validation_1-rmse:12.83890
[420]	validation_0-rmse:12.83458	validation_1-rmse:12.83458
[421]	validation_0-rmse:12.82390	validation_1-rmse:12.82390
[422]	validation_0-rmse:12.81820	validation_1-rmse:12.81820
[423]	validation_0-rmse:12.80596	validation_1-rmse:12.80596
[424]	validation_0-rmse:12.79919	validation_1-rmse:12.79919
[425]	validation_0-rmse:12.76954	validation_1-rmse:12.76954
[426]	validation_0-rmse:12.75653	validation_1-rmse:12.75653
[427]	validation_0-rmse:12.74300	validation_1-rmse:12.74300
[428]	validation_0-rmse:12.73603	validation_1-rmse:12.73603
[429]	validation_0-rmse:12.69805	validation_1-rmse:12.69805
[430]	validation_0-rmse:12.69135	validation_1-rmse:12.69135
[431]	validation_0-rmse:12.68481	validation_1-rmse:12.68481
[432]	validation_0-rmse:12.66567	validation_1-rmse:12.66567
[433]	validation_0-rmse:12.65827	validation_1-rmse:12.65827
[434]	validation_0-rmse:12.65162	validation_1-rmse:12.65162
